"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77"
49,2013-03-08,2013,"201303","20130308",227,227.75,227.75,227.75,227.5,227.75,227,226.25,225.75,225,225.75,225.25,225.5,227.5,229.25,229.75,226.25,227,226.5,226.75,226.75,226.5,226.25,226.5,227.25,227.75,228,228,227.75,227.75,227,226.25,226,225.25,225.5,225.25,225.75,227.75,229.25,230,226.75,226.5,226.5,226.75,226.75,226.5,226.25,226.75,227.5,228,228.25,228.25,228.25,227.75,227.25,227,226.5,226,226,226,226.25,228.5,230,230.5,226.75,227,227,226.75,227.5,227,226.5,227
49,2013-03-09,2013,"201303","20130309",227.25,228,228,228,227.75,227.75,227.5,224.5,224,223.5,223.5,224,224,223.5,223.75,224.5,224.25,224,224.25,224,224.25,224,224.5,224.25,227.25,228,228,228,228,227.75,228,224.5,224,223.75,223.5,223.75,224.25,223.25,223.75,224.5,224.25,224.5,224,224,224.5,224.5,224.5,224.25,227.75,228.25,228,228.5,228,228,228,225,224.5,224,224,224.5,224.5,224.25,224,225,225,225,225,224.5,225,225.25,225,224.75
49,2013-03-10,2013,"201303","20130310",225.25,225.25,225.25,225.25,225.75,225,225.25,225.25,225,224.75,224.25,224.75,225.25,224.25,224.25,225,225,225,225,224.5,224.5,225,224.75,224.5,225,225.25,225.25,225.25,226,225,225.25,225.25,225,224.5,224.75,224.75,225.25,224.25,224.25,225,225.25,225,224.75,224.75,224.75,225,224.5,224.25,225.25,225.25,225.75,225.25,226,225,225.75,225.75,225.75,225,225,225.5,226,224.5,225,225.25,225.75,225.5,225.5,225,225,225.75,225,224.5
49,2013-03-11,2013,"201303","20130311",225,225,225.5,225.25,225.25,225.5,225.25,224.5,223.5,223.25,226,226.5,227,225.5,225.75,226,226.5,227.25,227.25,226.5,226.75,227,227,226.5,225,225,225.5,225.25,225.25,225.75,225,224.75,223.75,223.25,226.25,226.5,227,225.5,226,226.25,226.5,227.25,227.25,227,226.75,226.75,227,227,225.5,225.75,225.75,225.5,225.75,225.75,225,225.5,224.25,224.25,227,227,227,226,226.5,226.75,227.5,227.75,227.5,227.25,227.5,227.75,227.25,227.25
49,2013-03-12,2013,"201303","20130312",227.5,227.75,227.75,228,227.75,228,227.25,226.75,226.25,226.5,226.25,226.5,227,226,226.25,227,227.25,227.75,227.5,227,227.75,227.5,226.75,227,227.5,228,227.75,228,227.75,228.25,227.25,227.25,226.25,226.5,226.25,226.5,227,226,226.25,227,227.25,227.75,227.5,227.25,228,227.5,226.75,227,227.75,228,228.25,228.25,228.5,228.25,227.75,227.75,227,227,227,227.25,227.75,226.5,227,227.5,227.75,228,228,228,228.25,228.25,227.75,227.75
49,2013-03-13,2013,"201303","20130313",227,227.75,227.75,227.75,228,227.75,227,226.75,226.25,227.25,227.25,227.5,225.75,224.25,224.5,224.75,225,225.5,225.25,225,225.25,225.25,224,224.25,227.25,227.75,228,228,228.25,227.75,227.5,227,226.75,227.5,227.25,227.5,226,224.25,224.5,224.75,225,225.5,225.25,225.5,225.5,225.25,224.25,224.25,228,228,228,228.25,228.5,228.25,228,227.5,227,228.25,228.25,228.25,226,224.75,225,225.5,225.5,226,225.75,226,226,226,224.75,225
49,2013-03-14,2013,"201303","20130314",224.25,225,225,225.75,225,225.5,225,224.25,223.25,224,225.5,227,225,223.25,224,224.5,224.75,225.25,225.5,225,225,225.5,224.25,224.5,224.25,225,225,225.75,225,225.75,225,224.5,223.25,224,225.75,227.25,225.25,223.25,224,224.5,225,225.25,225.5,225,225,225.5,224.25,224.5,225,225.5,225.75,226,225.75,225.75,225.25,224.5,223.75,224.25,226.25,228,225.75,223.75,224.75,225,225.5,226,226.25,226,225.75,226,225,225
49,2013-03-15,2013,"201303","20130315",224.75,224.25,225,225,225.25,225,224.75,224.5,223.75,224,224,224.25,224.5,223.75,224.5,224.75,224.75,225,225,224.75,225.25,225,224.5,223.5,224.75,224.5,225,225,225.25,225.25,225,224.5,223.75,224,224,224.25,224.75,223.75,224.25,224.75,225,225,224.75,224.75,225.25,225,224.5,223.5,225.25,225,225.75,225,225.5,225.5,225,225.25,224.5,224.75,224.5,224.75,225.75,224.5,225,225.25,225.5,225.75,225.75,225.5,226,226,225,224
49,2013-03-16,2013,"201303","20130316",224,224,224,224.25,224.75,224.5,224,224,223.5,224,224.75,225.25,225.25,224.5,224.25,225,224.75,225,224.75,225,225,225,224,223.75,224,224.25,224,224.75,224.75,224.75,224.25,224.5,223.75,224.25,224.75,225.25,225.5,224.25,224.25,225,225.25,225,225,225,225.25,225,224,224.25,224,224,224.25,224.5,225.25,225,224.75,224.75,224.25,225,225,225.25,226,224.75,225,225.25,225.5,225,226,225.25,226,225.5,224.5,224.25
49,2013-03-17,2013,"201303","20130317",224.5,225.5,225,225.75,225,226,225.5,225.25,225,224.75,225,225.75,225.75,225.25,224.75,225,225,225,225,225,225,225.75,225.25,224.5,224.75,225.75,225.25,225.5,226,226,225.75,225,225,225.25,225.25,225.75,225.75,225,224.75,225,225,225,225,225,225.25,225.75,225.25,224.75,225,225.5,225.5,226,226,226,226,225.5,225.25,225.5,226,226,226.5,225.75,225.5,225.75,225.75,225.75,225.75,226,226,226.25,225.75,225
